N,M,Block size, Time to create the data, Time to copy data from host to device, Time to execute kernel, Time to copy data from device to host, Total time
10000,10000,128,8074.84,61.8454,3.8895,3562.5,11703.1
10000,10000,128,5677.9,63.3568,3.854,3752.25,9497.36
10000,10000,128,5533.75,61.3921,3.1073,3679.38,9277.63
10000,10000,128,6072.24,63.4262,4.4566,3751.54,9891.67
10000,10000,128,7611.07,68.7833,4.8234,3848.86,11533.5
10000,10000,128,6160.51,61.7652,4.6078,3773.97,10000.9
10000,10000,128,6556.77,61.6118,4.689,3874.46,10497.5
10000,10000,128,6233.8,42.1375,4.3292,3756.15,10036.4
10000,10000,128,6823.93,61.8467,3.9371,3823.75,10713.5
10000,10000,128,5659.81,60.9748,3.7167,3936.59,9661.09
1000,1000,128,75.6544,0.5899,7.9197,35.2206,119.385
1000,1000,128,132.796,0.6233,8.1811,33.9243,175.525
1000,1000,128,197.24,2.3958,11.2416,31.8672,242.745
1000,1000,128,187.78,0.6447,6.4705,36.3799,231.275
1000,1000,128,87.0392,0.5342,7.1096,34.831,129.514
1000,1000,128,104.964,0.7141,7.5932,33.8953,147.166
1000,1000,128,77.9181,0.8204,7.8557,34.2602,120.854
1000,1000,128,82.343,0.5399,7.5621,34.71,125.155
1000,1000,128,86.8412,0.5968,8.8854,33.4804,129.804
1000,1000,128,84.3531,0.4799,7.9367,33.7689,126.539
5000,5000,128,2537.98,8.8619,4.0659,873.72,3424.62
5000,5000,128,1649.98,9.1781,5.2795,859.996,2524.43
5000,5000,128,1750.44,6.5951,3.1184,997.833,2757.98
5000,5000,128,1331.77,7.4588,3.2666,858.943,2201.44
5000,5000,128,1246.39,6.9238,3.0514,866.621,2122.99
5000,5000,128,1861.73,8.0832,3.5518,986.147,2859.51
5000,5000,128,1545.83,8.8219,3.7709,863.706,2422.13
5000,5000,128,1283.12,8.5614,2.9772,862.104,2156.76
5000,5000,128,1343.5,6.8208,3.0526,866.228,2219.6
5000,5000,128,1594.13,6.5872,3.263,870.464,2474.45
10000,10000,512,6346.59,29.9392,4.1458,4224.31,10605
10000,10000,512,5890.67,61.068,3.1476,4326.91,10281.8
10000,10000,512,5597.29,61.4499,6.4279,4507.47,10172.6
10000,10000,512,5492.27,61.0706,6.1227,4484.5,10044
10000,10000,512,6071.02,61.7218,3.4769,4511.81,10648
10000,10000,512,5442.67,61.0468,3.1844,4507.85,10014.8
10000,10000,512,5225.09,61.6617,6.0576,4450.16,9742.97
10000,10000,512,5800.5,61.8367,4.4615,4614.51,10481.3
10000,10000,512,7687.71,65.3504,8.1044,4632.13,12393.3
10000,10000,512,5673.76,66.0501,4.7785,4551.1,10295.7
10000,10000,500,10608.3,71.461,10.2412,4574.39,15264.4
10000,10000,500,8329.6,62.0048,3.8556,4459.98,12855.4
10000,10000,500,6468.31,61.7871,4.9139,4521.49,11056.5
10000,10000,500,6629.41,62.7693,5.2697,4626.3,11323.7
10000,10000,500,5916.35,38.7263,3.496,4700.16,10658.7
10000,10000,500,6351.09,35.0601,4.8541,4423.46,10814.5
10000,10000,500,6443.48,61.0319,3.6762,4588.47,11096.7
10000,10000,500,7865.89,61.67,5.9349,4858.94,12792.4
10000,10000,500,8216.82,61.9924,4.9654,4615.51,12899.3
10000,10000,500,9799.65,64.2741,9.9712,4748.34,14622.2
5000,5000,512,2789.18,18.709,13.5582,1065.95,3887.4
5000,5000,512,3388.28,13.4731,13.1175,1257.64,4672.51
5000,5000,512,5540.63,17.7518,10.2241,1221.77,6790.37
5000,5000,512,3600.41,63.8998,6.7796,1270.26,4941.34
5000,5000,512,2204.36,13.1486,7.8773,1265.29,3490.68
5000,5000,512,2801.17,20.5679,7.5492,1315.77,4145.06
5000,5000,512,2610.33,18.0892,8.4323,1255.03,3891.88
5000,5000,512,2681.49,13.6306,6.8387,1376.5,4078.46
5000,5000,512,1877.93,11.1146,4.0292,1234.88,3127.95
5000,5000,512,1534.5,10.7676,3.8285,1068.66,2617.77
5000,5000,500,2401.25,10.9937,5.09,1096.77,3514.11
5000,5000,500,1641.9,8.8129,4.552,1056.33,2711.59
5000,5000,500,1249.15,6.9991,3.085,1056.7,2315.93
5000,5000,500,1754.37,8.3726,5.4566,1057.18,2825.37
5000,5000,500,1482.74,9.1778,4.2628,1061.72,2557.89
5000,5000,500,1606.9,9.9804,4.4583,1053.29,2674.63
5000,5000,500,1540.64,7.4232,5.9718,1056.37,2610.4
5000,5000,500,1625.59,8.5136,3.3463,1052.19,2689.64
5000,5000,500,1426.04,10.0026,4.1881,1070.68,2510.91
5000,5000,500,2974.91,13.6767,10.6067,1274.56,4273.75
